"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","一段","やり込める","ヤリコメル,ヤリコメ,ヤリコメヨ,ヤリコメ,ヤリコメレ,ヤリコメヨ,ヤリコメロ,ヤリコメリャ,ヤリコメン","やり込める","やり込め","やり込めよ","やり込め","","やり込めれ","","やり込めりゃ","","やり込めん","","やり込めよ","やり込めろ","","","","","",""
"自立","*","*","五段・ラ行","しゃべる","シャベル,シャベラ,シャベン,シャベロ,シャベリ,シャベッ,シャベレ,シャベレ,シャベリャ,シャベン,シャベ","しゃべる","しゃべら","しゃべろ","しゃべり","しゃべっ","しゃべれ","しゃべれ","しゃべりゃ","しゃべん","しゃべん","しゃべ","","","","","","","",""
"自立","*","*","一段","嗅ぎ当てる","カギアテル,カギアテ,カギアテヨ,カギアテ,カギアテレ,カギアテヨ,カギアテロ,カギアテリャ,カギアテン","嗅ぎ当てる","嗅ぎ当て","嗅ぎ当てよ","嗅ぎ当て","","嗅ぎ当てれ","","嗅ぎ当てりゃ","","嗅ぎ当てん","","嗅ぎ当てよ","嗅ぎ当てろ","","","","","",""
"自立","*","*","五段・サ行","巻き起す","マキオコス,マキオコサ,マキオコソ,マキオコシ,マキオコセ,マキオコセ,マキオコシャ","巻き起す","巻き起さ","巻き起そ","巻き起し","","巻き起せ","巻き起せ","巻き起しゃ","","","","","","","","","","",""
"自立","*","*","一段","ととのえる","トトノエル,トトノエ,トトノエヨ,トトノエ,トトノエレ,トトノエヨ,トトノエロ,トトノエリャ,トトノエン","ととのえる","ととのえ","ととのえよ","ととのえ","","ととのえれ","","ととのえりゃ","","ととのえん","","ととのえよ","ととのえろ","","","","","",""
"自立","*","*","五段・マ行","噤む","ツグム,ツグマ,ツグモ,ツグミ,ツグン,ツグメ,ツグメ,ツグミャ","噤む","噤ま","噤も","噤み","噤ん","噤め","噤め","噤みゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","調子づく","チョウシヅク,チョウシヅカ,チョウシヅコ,チョウシヅキ,チョウシヅイ,チョウシヅケ,チョウシヅケ,チョウシヅキャ","調子づく","調子づか","調子づこ","調子づき","調子づい","調子づけ","調子づけ","調子づきゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","説明かす","トキアカス,トキアカサ,トキアカソ,トキアカシ,トキアカセ,トキアカセ,トキアカシャ","説明かす","説明かさ","説明かそ","説明かし","","説明かせ","説明かせ","説明かしゃ","","","","","","","","","","",""
"自立","*","*","一段","暮らせる","クラセル,クラセ,クラセヨ,クラセ,クラセレ,クラセヨ,クラセロ,クラセリャ,クラセン","暮らせる","暮らせ","暮らせよ","暮らせ","","暮らせれ","","暮らせりゃ","","暮らせん","","暮らせよ","暮らせろ","","","","","",""
"自立","*","*","五段・カ行イ音便","於く","オク,オカ,オコ,オキ,オイ,オケ,オケ,オキャ","於く","於か","於こ","於き","於い","於け","於け","於きゃ","","","","","","","","","","",""
"自立","*","*","一段","研ける","ミガケル,ミガケ,ミガケヨ,ミガケ,ミガケレ,ミガケヨ,ミガケロ,ミガケリャ,ミガケン","研ける","研け","研けよ","研け","","研けれ","","研けりゃ","","研けん","","研けよ","研けろ","","","","","",""
"自立","*","*","五段・サ行","なぐりとばす","ナグリトバス,ナグリトバサ,ナグリトバソ,ナグリトバシ,ナグリトバセ,ナグリトバセ,ナグリトバシャ","なぐりとばす","なぐりとばさ","なぐりとばそ","なぐりとばし","","なぐりとばせ","なぐりとばせ","なぐりとばしゃ","","","","","","","","","","",""
"自立","*","*","一段","語れる","カタレル,カタレ,カタレヨ,カタレ,カタレレ,カタレヨ,カタレロ,カタレリャ,カタレン","語れる","語れ","語れよ","語れ","","語れれ","","語れりゃ","","語れん","","語れよ","語れろ","","","","","",""
"自立","*","*","五段・マ行","行悩む","ユキナヤム,ユキナヤマ,ユキナヤモ,ユキナヤミ,ユキナヤン,ユキナヤメ,ユキナヤメ,ユキナヤミャ,イキナヤム,イキナヤマ,イキナヤモ,イキナヤミ,イキナヤン,イキナヤメ,イキナヤメ,イキナヤミャ","行悩む","行悩ま","行悩も","行悩み","行悩ん","行悩め","行悩め","行悩みゃ","","","","","","","","","","",""
"自立","*","*","一段","ふんぎれる","フンギレル,フンギレ,フンギレヨ,フンギレ,フンギレレ,フンギレヨ,フンギレロ,フンギレリャ,フンギレン","ふんぎれる","ふんぎれ","ふんぎれよ","ふんぎれ","","ふんぎれれ","","ふんぎれりゃ","","ふんぎれん","","ふんぎれよ","ふんぎれろ","","","","","",""
"自立","*","*","一段","持掛ける","モチカケル,モチカケ,モチカケヨ,モチカケ,モチカケレ,モチカケヨ,モチカケロ,モチカケリャ,モチカケン","持掛ける","持掛け","持掛けよ","持掛け","","持掛けれ","","持掛けりゃ","","持掛けん","","持掛けよ","持掛けろ","","","","","",""
"自立","*","*","五段・ナ行","やけしぬ","ヤケシヌ,ヤケシナ,ヤケシノ,ヤケシニ,ヤケシン,ヤケシネ,ヤケシネ,ヤケシニャ","やけしぬ","やけしな","やけしの","やけしに","やけしん","やけしね","やけしね","やけしにゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","さしくる","サシクル,サシクラ,サシクン,サシクロ,サシクリ,サシクッ,サシクレ,サシクレ,サシクリャ,サシクン,サシク","さしくる","さしくら","さしくろ","さしくり","さしくっ","さしくれ","さしくれ","さしくりゃ","さしくん","さしくん","さしく","","","","","","","",""
"自立","*","*","五段・ラ行","むしる","ムシル,ムシラ,ムシン,ムシロ,ムシリ,ムシッ,ムシレ,ムシレ,ムシリャ,ムシン,ムシ","むしる","むしら","むしろ","むしり","むしっ","むしれ","むしれ","むしりゃ","むしん","むしん","むし","","","","","","","",""
"自立","*","*","一段","講じる","コウジル,コウジ,コウジヨ,コウジ,コウジレ,コウジヨ,コウジロ,コウジリャ,コウジン","講じる","講じ","講じよ","講じ","","講じれ","","講じりゃ","","講じん","","講じよ","講じろ","","","","","",""
"自立","*","*","五段・マ行","張り込む","ハリコム,ハリコマ,ハリコモ,ハリコミ,ハリコン,ハリコメ,ハリコメ,ハリコミャ","張り込む","張り込ま","張り込も","張り込み","張り込ん","張り込め","張り込め","張り込みゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","修まる","オサマル,オサマラ,オサマン,オサマロ,オサマリ,オサマッ,オサマレ,オサマレ,オサマリャ,オサマン,オサマ","修まる","修まら","修まろ","修まり","修まっ","修まれ","修まれ","修まりゃ","修まん","修まん","修ま","","","","","","","",""
